"Zeitstempel","Wie alt bist du?","Geschlecht","Was beschreibt deine aktuelle Situation am besten?  ","Bist du (oder warst du) Mitglied in einem Sportverein? "," Wie stark interessierst du dich für Sport als Zuschauer*in (z.B. Live-Spiele, TV, Streams)?  ","Hast du schon einmal Sportwetten abgeschlossen?","Wie häufig wettest du ungefähr?","Wie viel Geld gibst du durchschnittlich pro Monat für Sportwetten aus? (Schätzung reicht)  ","Über welche Kanäle wetten Sie hauptsächlich?  ","Inwiefern spielt dein Freundes- oder Bekanntenkreis eine Rolle bei Sportwetten?","Sportwetten sind für mich ein harmloses Freizeitvergnügen","Durch mein Sportwissen habe ich bei Sportwetten einen Vorteil","  Ich setze nur Geld, das ich mir leisten kann zu verlieren  ","Ich habe meine Ausgaben für Sportwetten gut im Griff ","Ich habe schon einmal das Gefühl gehabt, zu viel Geld für Sportwetten auszugeben"
"2025/11/15 11:44:29 AM MEZ","21","Männlich","Student*in","Nein, aber ich war früher Mitglied","8","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App)","In meinem Umfeld wettet ein Teil der Leute, ich aber nicht","Stimme eher nicht zu","Stimme eher nicht zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 11:44:53 AM MEZ","19","Männlich","Schüler*in","Ja, aktuell und regelmäßig aktiv","5","Nein","","","","","","","","",""
"2025/11/15 11:45:41 AM MEZ","20","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","10","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Privat (mit Freunden)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 11:47:06 AM MEZ","19","Männlich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","10","Ja","Ca. 1 Mal pro Woche","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Weder noch","Weder noch","Weder noch","Stimme eher zu","Stimme eher zu"
"2025/11/15 11:47:08 AM MEZ","27","Männlich","Sonstiges / möchte ich nicht angeben","Ja, aktuell und regelmäßig aktiv","9","Ja","Mehrmals pro Woche","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme voll zu","Stimme eher zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 11:47:11 AM MEZ","21","Männlich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","10","Ja","Ca. 1–3 Mal pro Monat","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme voll zu","Stimme eher zu","Stimme voll zu","Stimme voll zu","Weder noch"
"2025/11/15 11:48:37 AM MEZ","18","Männlich","Schüler*in","Ja, aktuell und regelmäßig aktiv","10","Nein","","","","","","","","",""
"2025/11/15 11:49:18 AM MEZ","20","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","9","Ja","Ca. 1 Mal pro Woche","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher zu","Stimme eher nicht zu"
"2025/11/15 11:50:20 AM MEZ","19","Männlich","Student*in","Nein, ich war noch nie Mitglied in einem Sportverein","9","Nein","","","","","","","","",""
"2025/11/15 11:50:59 AM MEZ","19","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","9","Nein","","","","","","","","",""
"2025/11/15 11:51:13 AM MEZ","24","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","10","Ja","(Fast) täglich","Mehr als 200 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme eher zu","Stimme eher zu","Stimme voll zu","Stimme eher zu","Stimme voll zu"
"2025/11/15 11:51:24 AM MEZ","22","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","5","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 11:53:58 AM MEZ","24","Männlich","Sonstiges / möchte ich nicht angeben","Ja, aktuell und regelmäßig aktiv","8","Ja","Seltener als 1 Mal pro Monat","10 € - 50 €","Wettbüro/Wettshop vor Ort","In meinem Umfeld wettet fast niemand","Stimme überhaupt nicht zu","Stimme voll zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme überhaupt nicht zu"
"2025/11/15 11:54:15 AM MEZ","21","Weiblich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","8","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App);Privat (mit Freunden)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme eher zu","Weder noch","Stimme eher zu","Stimme voll zu","Stimme eher nicht zu"
"2025/11/15 11:54:46 AM MEZ","20","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","8","Nein","","","","","","","","",""
"2025/11/15 11:55:30 AM MEZ","23","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","7","Nein","","","","","","","","",""
"2025/11/15 11:56:20 AM MEZ","22","Weiblich","Student*in","Nein, ich war noch nie Mitglied in einem Sportverein","6","Nein","","","","","","","","",""
"2025/11/15 11:56:55 AM MEZ","25","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","10","Ja","Ca. 1–3 Mal pro Monat","10 € - 50 €","Online-Wettanbieter (Webseite/App)","In meinem Umfeld wettet fast niemand","Weder noch","Stimme überhaupt nicht zu","Stimme voll zu","Stimme voll zu","Stimme voll zu"
"2025/11/15 11:57:42 AM MEZ","47","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","7","Nein","","","","","","","","",""
"2025/11/15 11:57:54 AM MEZ","51","Weiblich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell, aber kaum/gar nicht aktiv","8","Nein","","","","","","","","",""
"2025/11/15 12:00:07 PM MEZ","20","Weiblich","Student*in","Ja, aktuell und regelmäßig aktiv","7","Nein","","","","","","","","",""
"2025/11/15 12:01:36 PM MEZ","23","Männlich","Auszubildende*r","Ja, aktuell, aber kaum/gar nicht aktiv","9","Ja","Seltener als 1 Mal pro Monat","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme eher zu","Stimme eher zu","Stimme voll zu","Stimme voll zu","Stimme eher nicht zu"
"2025/11/15 12:02:10 PM MEZ","21","Männlich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","10","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App);Privat (mit Freunden)","In meinem Umfeld wettet ein Teil der Leute, ich aber nicht","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme voll zu","Stimme eher zu"
"2025/11/15 12:02:55 PM MEZ","19","Männlich","Schüler*in","Ja, aktuell und regelmäßig aktiv","7","Nein","","","","","","","","",""
"2025/11/15 12:05:21 PM MEZ","19","Weiblich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","5","Nein","","","","","","","","",""
"2025/11/15 12:06:09 PM MEZ","27","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","7","Nein","","","","","","","","",""
"2025/11/15 12:07:04 PM MEZ","25","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","10","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Wettbüro/Wettshop vor Ort;Privat (mit Freunden);Sonstiges","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu"
"2025/11/15 12:07:45 PM MEZ","18","Männlich","Schüler*in","Nein, aber ich war früher Mitglied","6","Nein","","","","","","","","",""
"2025/11/15 12:09:53 PM MEZ","20","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","9","Nein","","","","","","","","",""
"2025/11/15 12:14:52 PM MEZ","29","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","8","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App)","In meinem Umfeld wettet ein Teil der Leute, ich aber nicht","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 12:27:53 PM MEZ","19","Weiblich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","4","Nein","","","","","","","","",""
"2025/11/15 12:42:57 PM MEZ","25","Männlich","Student*in","Nein, aber ich war früher Mitglied","7","Nein","","","","","","","","",""
"2025/11/15 12:54:16 PM MEZ","22","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","8","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme voll zu","Weder noch","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 12:58:46 PM MEZ","55","Weiblich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","8","Nein","","","","","","","","",""
"2025/11/15 12:59:43 PM MEZ","21","Männlich","Student*in","Ja, aktuell und regelmäßig aktiv","10","Ja","Seltener als 1 Mal pro Monat","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Weder noch","Stimme eher zu","Stimme voll zu","Stimme voll zu","Stimme voll zu"
"2025/11/15 1:08:46 PM MEZ","21","Weiblich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","6","Nein","","","","","","","","",""
"2025/11/15 1:16:44 PM MEZ","25","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","8","Ja","Ca. 1–3 Mal pro Monat","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme voll zu"
"2025/11/15 1:22:17 PM MEZ","18","Weiblich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","10","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Privat (mit Freunden)","Ich wette unabhängig davon, was andere tun","Stimme voll zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme voll zu","Stimme eher nicht zu"
"2025/11/15 2:07:25 PM MEZ","33","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","10","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App)","In meinem Umfeld wettet ein Teil der Leute, ich aber nicht","Stimme voll zu","Stimme eher nicht zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 2:33:24 PM MEZ","23","Männlich","Student*in","Nein, aber ich war früher Mitglied","8","Nein","","","","","","","","",""
"2025/11/15 3:00:20 PM MEZ","20","Männlich","Student*in","Ja, aktuell, aber kaum/gar nicht aktiv","9","Ja","(Fast) täglich","10 € - 50 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme voll zu","Stimme voll zu","Stimme überhaupt nicht zu"
"2025/11/15 3:47:55 PM MEZ","19","Weiblich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","3","Nein","","","","","","","","",""
"2025/11/15 4:03:56 PM MEZ","19","Weiblich","Student*in","Ja, aktuell und regelmäßig aktiv","8","Nein","","","","","","","","",""
"2025/11/15 5:40:47 PM MEZ","19","Weiblich","Student*in","Nein, aber ich war früher Mitglied","6","Nein","","","","","","","","",""
"2025/11/15 7:11:33 PM MEZ","29","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","9","Ja","Ca. 1 Mal pro Woche","51 € - 200 €","Online-Wettanbieter (Webseite/App)","Ich wette unabhängig davon, was andere tun","Stimme eher nicht zu","Weder noch","Stimme eher zu","Weder noch","Stimme voll zu"
"2025/11/16 2:34:14 AM MEZ","18","Männlich","Student*in","Nein, aber ich war früher Mitglied","9","Ja","Seltener als 1 Mal pro Monat","10 € - 50 €","Online-Wettanbieter (Webseite/App)","In meinem Umfeld wettet fast niemand","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Weder noch","Stimme überhaupt nicht zu"
"2025/11/16 4:19:25 PM MEZ","40","Männlich","Arbeitssuchend","Ja, aktuell und regelmäßig aktiv","9","Ja","Seltener als 1 Mal pro Monat","Weniger als 10 €","Online-Wettanbieter (Webseite/App)","Ich wette gelegentlich mit, weil andere in meinem Umfeld wetten","Stimme eher zu","Stimme eher zu","Stimme voll zu","Stimme voll zu","Weder noch"
"2025/11/16 6:16:01 PM MEZ","21","Männlich","Auszubildende*r","Ja, aktuell und regelmäßig aktiv","10","Ja","Ca. 1 Mal pro Woche","10 € - 50 €","Online-Wettanbieter (Webseite/App);Privat (mit Freunden)","Ich wette unabhängig davon, was andere tun","Stimme voll zu","Weder noch","Stimme voll zu","Stimme voll zu","Stimme eher zu"
"2025/11/17 4:02:05 PM MEZ","23","Weiblich","Auszubildende*r","Nein, ich war noch nie Mitglied in einem Sportverein","4","Nein","","","","","","","","",""
"2025/11/17 4:33:17 PM MEZ","19","Weiblich","Student*in","Nein, aber ich war früher Mitglied","5","Nein","","","","","","","","",""
"2025/11/17 4:33:27 PM MEZ","37","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","8","Nein","","","","","","","","",""
"2025/11/17 4:33:34 PM MEZ","22","Weiblich","Student*in","Nein, ich war noch nie Mitglied in einem Sportverein","7","Nein","","","","","","","","",""
"2025/11/17 4:33:57 PM MEZ","21","Weiblich","Student*in","Nein, aber ich war früher Mitglied","3","Nein","","","","","","","","",""
"2025/11/17 4:34:04 PM MEZ","27","Männlich","Berufstätig (Vollzeit/Teilzeit)","Ja, aktuell und regelmäßig aktiv","8","Nein","","","","","","","","",""
"2025/11/17 4:35:23 PM MEZ","19","Männlich","Schüler*in","Ja, aktuell und regelmäßig aktiv","9","Ja","Ca. 1 Mal pro Woche","10 € - 50 €","Online-Wettanbieter (Webseite/App);Wettbüro/Wettshop vor Ort;Privat (mit Freunden)","Ich wette unabhängig davon, was andere tun","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu"